# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-mac_uni
# Data supplier: Department of Physics and Astronomy / Macquarie University
# Location name: Sydney/NSW/Australia- Macquarie University Observatory
# Position: -33.770269, 151.111135, 75
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3255
# SQM firmware version: 36
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000036,00003255
# SQM readout test rx: r, 00.00m,0000593951Hz,0000000000c,0000000.000s, 051.2C
# SQM readout test cx: c,00000019.81m,0000157.488s, 021.9C,00000008.71m, 024.8C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2017-04-04T06:57:55.000;2017-04-04T16:57:55.000;37.86;0.000;595721.000;-0.000
2017-04-04T06:58:40.000;2017-04-04T16:58:40.000;39.54;0.000;595565.800;-0.000
2017-04-04T06:59:27.000;2017-04-04T16:59:27.000;39.60;0.000;595545.400;-0.000
2017-04-04T07:00:14.000;2017-04-04T17:00:14.000;39.60;0.000;595519.600;-0.000
2017-04-04T07:01:01.000;2017-04-04T17:01:01.000;39.54;0.000;595501.600;-0.000
2017-04-04T07:01:45.000;2017-04-04T17:01:45.000;39.54;0.000;595550.800;-0.000
2017-04-04T07:02:28.000;2017-04-04T17:02:28.000;39.54;0.000;595560.000;-0.000
2017-04-04T07:03:15.000;2017-04-04T17:03:15.000;39.60;0.000;595581.600;-0.000
2017-04-04T07:04:01.000;2017-04-04T17:04:01.000;39.60;0.000;595577.200;-0.000
2017-04-04T07:04:45.000;2017-04-04T17:04:45.000;39.60;0.000;595546.800;-0.000
2017-04-04T07:05:27.000;2017-04-04T17:05:27.000;39.60;0.000;595553.600;-0.000
2017-04-04T07:06:12.000;2017-04-04T17:06:12.000;39.54;0.000;595538.800;-0.000
2017-04-04T07:07:00.000;2017-04-04T17:07:00.000;39.48;0.000;595558.800;-0.000
